StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,memory,attempt,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q8_20,Q8_21,Q8_22,Q8_23,Q8_24,Q8_25,Q8_26,Q8_27,Q8_28,Q8_29,Q8_30,Q8_31,Q8_32,seconds
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,בני כמה אתם?,"עד כמה לדעתכם יש לכם זיכרון טוב בין 1 ל-7 כאשר 7 זה זיכרון מצוין, ו-1 זה זיכרון חלש",האם זאת הפעם הראשונה או שניה שאתם עושים את הסקר?,אילו מהמספרים הבאים הופיעו ברשימה? - 984,אילו מהמספרים הבאים הופיעו ברשימה? - 563,אילו מהמספרים הבאים הופיעו ברשימה? - 530,אילו מהמספרים הבאים הופיעו ברשימה? - 460,אילו מהמספרים הבאים הופיעו ברשימה? - 854,אילו מהמספרים הבאים הופיעו ברשימה? - 381,אילו מהמספרים הבאים הופיעו ברשימה? - 655,אילו מהמספרים הבאים הופיעו ברשימה? - 965,אילו מהמספרים הבאים הופיעו ברשימה? - 596,אילו מהמספרים הבאים הופיעו ברשימה? - 292,אילו מהמספרים הבאים הופיעו ברשימה? - 640,אילו מהמספרים הבאים הופיעו ברשימה? - 660,אילו מהמספרים הבאים הופיעו ברשימה? - 232,אילו מהמספרים הבאים הופיעו ברשימה? - 171,אילו מהמספרים הבאים הופיעו ברשימה? - 581,אילו מהמספרים הבאים הופיעו ברשימה? - 486,אילו מהמספרים הבאים הופיעו ברשימה? - 306,אילו מהמספרים הבאים הופיעו ברשימה? - 144,אילו מהמספרים הבאים הופיעו ברשימה? - 871,אילו מהמספרים הבאים הופיעו ברשימה? - 835,אילו מהמספרים הבאים הופיעו ברשימה? - 744,אילו מהמספרים הבאים הופיעו ברשימה? - 483,אילו מהמספרים הבאים הופיעו ברשימה? - 891,אילו מהמספרים הבאים הופיעו ברשימה? - 236,אילו מהמספרים הבאים הופיעו ברשימה? - 602,אילו מהמספרים הבאים הופיעו ברשימה? - 412,אילו מהמספרים הבאים הופיעו ברשימה? - 593,אילו מהמספרים הבאים הופיעו ברשימה? - 985,אילו מהמספרים הבאים הופיעו ברשימה? - 467,אילו מהמספרים הבאים הופיעו ברשימה? - 481,אילו מהמספרים הבאים הופיעו ברשימה? - 265,אילו מהמספרים הבאים הופיעו ברשימה? - 952,seconds
"{""ImportId"":""startDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID8"",""choiceId"":""1""}","{""ImportId"":""QID8"",""choiceId"":""2""}","{""ImportId"":""QID8"",""choiceId"":""3""}","{""ImportId"":""QID8"",""choiceId"":""4""}","{""ImportId"":""QID8"",""choiceId"":""5""}","{""ImportId"":""QID8"",""choiceId"":""6""}","{""ImportId"":""QID8"",""choiceId"":""7""}","{""ImportId"":""QID8"",""choiceId"":""8""}","{""ImportId"":""QID8"",""choiceId"":""9""}","{""ImportId"":""QID8"",""choiceId"":""10""}","{""ImportId"":""QID8"",""choiceId"":""11""}","{""ImportId"":""QID8"",""choiceId"":""12""}","{""ImportId"":""QID8"",""choiceId"":""13""}","{""ImportId"":""QID8"",""choiceId"":""14""}","{""ImportId"":""QID8"",""choiceId"":""15""}","{""ImportId"":""QID8"",""choiceId"":""16""}","{""ImportId"":""QID8"",""choiceId"":""17""}","{""ImportId"":""QID8"",""choiceId"":""18""}","{""ImportId"":""QID8"",""choiceId"":""19""}","{""ImportId"":""QID8"",""choiceId"":""20""}","{""ImportId"":""QID8"",""choiceId"":""21""}","{""ImportId"":""QID8"",""choiceId"":""22""}","{""ImportId"":""QID8"",""choiceId"":""23""}","{""ImportId"":""QID8"",""choiceId"":""24""}","{""ImportId"":""QID8"",""choiceId"":""25""}","{""ImportId"":""QID8"",""choiceId"":""26""}","{""ImportId"":""QID8"",""choiceId"":""27""}","{""ImportId"":""QID8"",""choiceId"":""28""}","{""ImportId"":""QID8"",""choiceId"":""29""}","{""ImportId"":""QID8"",""choiceId"":""30""}","{""ImportId"":""QID8"",""choiceId"":""31""}","{""ImportId"":""QID8"",""choiceId"":""32""}","{""ImportId"":""seconds""}"
2024-02-06 20:00:42,2024-02-06 20:02:59,IP Address,84.110.59.165,100,137,True,2024-02-06 20:03:00,R_4BxnvDf9Qbj2CM9,,,,,32.0803,34.7805,anonymous,EN,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,8
2024-02-06 20:03:32,2024-02-06 20:03:57,IP Address,84.110.59.165,100,24,True,2024-02-06 20:03:57,R_4LRkZYW619OLpwG,,,,,32.0803,34.7805,anonymous,EN,25,3,,,,,,,,,,,,,,,,,,306,,,,744,,,,,,,,,,,,5
2024-02-06 20:05:56,2024-02-06 20:05:56,Survey Test,,100,0,True,2024-02-06 20:05:56,R_74o86wEslrFx13M,,,,,,,test,,47,3,,984,563,530,460,854,381,,965,596,292,640,660,232,171,581,486,306,144,871,,744,,891,236,,412,593,,467,,265,952,10
2024-02-06 20:05:57,2024-02-06 20:05:57,Survey Test,,100,0,True,2024-02-06 20:05:57,R_cTG9G4u6huxQZyS,,,,,,,test,,32,5,,984,563,530,,854,381,655,965,,292,640,660,232,171,581,,306,144,871,835,744,483,891,236,602,412,593,985,467,481,265,952,5
2024-02-06 20:05:57,2024-02-06 20:05:57,Survey Test,,100,0,True,2024-02-06 20:05:57,R_2i1NqbBCzlX0MEm,,,,,,,test,,26,4,,,,530,,,,,,,,640,,,,,486,,,,,,,,,,,,,,,,,10
2024-02-06 20:05:57,2024-02-06 20:05:57,Survey Test,,100,0,True,2024-02-06 20:05:57,R_0fd72VrTjsFcQaG,,,,,,,test,,38,5,,984,,,,,381,655,,596,,640,660,,,581,486,,,,,,,,,,,593,985,467,,,,7
2024-02-06 20:05:57,2024-02-06 20:05:57,Survey Test,,100,0,True,2024-02-06 20:05:57,R_cUxIyGLhU6dKdx4,,,,,,,test,,25,2,,984,563,530,,,381,655,965,596,292,,660,232,171,581,486,,,871,835,744,483,891,,602,412,593,985,467,481,265,,6
2024-02-06 20:05:57,2024-02-06 20:05:57,Survey Test,,100,0,True,2024-02-06 20:05:57,R_cuszK22QgQIrH9k,,,,,,,test,,29,2,,,,,,,,,,596,,,660,,,581,,306,,,,,,,,,,,,,,,,9
2024-02-06 20:05:57,2024-02-06 20:05:57,Survey Test,,100,0,True,2024-02-06 20:05:58,R_cCvo0CmM6R9C2gK,,,,,,,test,,37,4,,,,530,460,,381,655,965,596,292,,660,232,,,,,,871,,744,,,,,412,593,985,,,,,7
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_0BChHm6SwxRaa9w,,,,,,,test,,20,7,,,,,,,,,965,,292,,660,232,,,486,306,,,835,,,,,,412,593,,,,,,8
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_1AeALXE3bjEoKsS,,,,,,,test,,28,3,,,563,530,460,854,,655,965,,,,660,232,171,,486,306,,,,,483,891,236,,,,985,,,,952,6
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_3OY5HeYMJEf3kNg,,,,,,,test,,20,6,,,,,,854,,,,,,640,,,,,,,,,,,483,,,,,,985,,,,,10
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:58,R_bE4FAaMa8Ma7qmO,,,,,,,test,,47,5,,984,563,530,460,,381,,,,,640,,,,,,,,,835,,,891,,,,,,,,,952,6
2024-02-06 20:05:58,2024-02-06 20:05:58,Survey Test,,100,0,True,2024-02-06 20:05:59,R_d0S1sMItdiERTh4,,,,,,,test,,27,3,,984,563,530,460,854,381,655,965,596,,640,,,171,,486,306,144,871,835,,483,,236,602,,593,985,467,481,265,,7
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_39kZLBAFEgXVdbg,,,,,,,test,,38,6,,,563,530,460,854,381,655,965,596,292,640,660,232,171,581,486,306,,871,835,744,483,891,,602,412,593,985,,481,265,952,7
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_d0a6YAf1uW44h94,,,,,,,test,,23,7,,,563,530,460,854,,,,596,,640,660,232,171,581,486,306,144,871,835,744,,,236,,412,593,985,467,481,265,,7
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_cx9Et4p3xm6pw10,,,,,,,test,,22,2,,984,,,460,854,,,,,292,640,660,232,171,581,,306,144,,,,,891,236,602,412,,985,467,481,265,952,5
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_0x3xeN4SjztLMbQ,,,,,,,test,,24,7,,984,563,530,460,854,381,,965,596,292,640,660,232,171,581,486,306,,871,835,744,483,,236,602,412,593,985,467,481,265,952,4
2024-02-06 20:05:59,2024-02-06 20:05:59,Survey Test,,100,0,True,2024-02-06 20:05:59,R_8D19W6nHG2wJA1M,,,,,,,test,,36,4,,984,563,530,460,854,381,655,965,596,292,640,660,232,,581,486,306,144,871,835,744,483,891,236,602,412,593,985,467,481,265,952,5
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_06DM9neCWN3L64K,,,,,,,test,,33,4,,,563,,,854,,,965,596,,,,,171,581,,,,,,,483,,,,,593,985,,481,,952,10
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_2udkEJ6S2eh70rQ,,,,,,,test,,25,1,,984,,530,,,,,,596,292,,,232,171,581,486,,,871,,744,,891,236,,,593,985,,481,265,,9
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_0HEtnxjRMiUNYpw,,,,,,,test,,24,1,,984,563,530,460,,381,655,965,596,292,640,660,232,171,581,,306,144,871,835,744,483,891,236,602,412,593,985,467,481,265,952,5
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_80mOPNBfHTUiyTI,,,,,,,test,,47,6,,984,563,530,460,854,,,965,596,,640,660,232,171,581,486,306,144,871,,744,483,,236,602,,,985,467,481,265,952,9
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:00,R_3Eo4qOobZolqu2y,,,,,,,test,,35,3,,,,530,460,854,,655,,596,292,,660,232,171,581,486,,144,,,744,,,,,,593,,,,265,,9
2024-02-06 20:06:00,2024-02-06 20:06:00,Survey Test,,100,0,True,2024-02-06 20:06:01,R_0dKyAyyWslAWqWi,,,,,,,test,,39,5,,984,563,530,460,854,381,655,965,596,292,640,660,232,171,581,486,306,144,871,835,744,483,891,236,602,412,593,,467,481,265,952,8
2024-02-06 20:06:01,2024-02-06 20:06:01,Survey Test,,100,0,True,2024-02-06 20:06:01,R_0O4AGpsLfR6HGFo,,,,,,,test,,28,6,,984,563,,,,,655,965,596,292,,660,,,,486,306,144,871,,,483,,236,,,593,,467,481,,,4
2024-02-06 20:06:01,2024-02-06 20:06:01,Survey Test,,100,0,True,2024-02-06 20:06:01,R_cwOMUIjNAECGs9E,,,,,,,test,,32,2,,,,,,854,381,655,,,,640,,232,171,,486,,,,835,744,483,,236,,412,,,,,,,4
2024-02-06 23:21:49,2024-02-06 23:22:52,IP Address,84.110.59.165,100,63,True,2024-02-06 23:22:53,R_405HeRntjgb4rK9,,,,,32.0803,34.7805,anonymous,EN,35,6,,984,,,,,,655,965,,,,,,171,,,,,,,744,,,236,,,,,,,,,5
2024-02-06 23:23:34,2024-02-06 23:31:50,IP Address,84.110.59.165,100,496,True,2024-02-06 23:31:51,R_4zMZyYC9echXcEI,,,,,32.0803,34.7805,anonymous,EN,20,6,,,,,,,,,965,,,,660,,,,,,144,871,,,,,,,,,,,481,,,5
2024-02-06 23:36:24,2024-02-06 23:38:19,IP Address,84.110.59.166,100,115,True,2024-02-06 23:38:20,R_42xjEYWt5T0SG2K,,,,,32.0803,34.7805,anonymous,EN,22,4,,,563,,,854,,,965,,,,,232,,581,,,,,835,,,,,,,,,,,,952,8
